exit_reason,minutes_to_exit,mfe_r,mae_r,r_final,r_at_60min,r_at_120min,r_at_240min,r_at_480min,r_at_720min,action
TP,623.0,2.612911921395152,-0.14466869673484312,1.9999999999999798,0.060352585140926174,0.7419817820266225,0.5209848158488392,0.24318541659723938,1.9999999999999798,SHORT
SL,330.0,0.5850668573935838,-1.05481312264269,-1.0,-0.09627682463439635,-0.26449677097359253,-0.16927793342311367,-1.0,-1.0,SHORT
TP,353.0,2.698728338463893,-0.5463955116479046,1.999999999999975,0.38125772009510833,0.1873039380699836,0.12967195712537716,1.999999999999975,1.999999999999975,SHORT
SL,120.0,0.26656965109673164,-1.0833977562921775,-1.0,-0.3264866827652347,-1.0,-1.0,-1.0,-1.0,SHORT
TP,113.0,3.4644020274893164,-0.15036467133200182,1.9999999999999658,1.0826256335904199,1.9999999999999658,1.9999999999999658,1.9999999999999658,1.9999999999999658,SHORT
SL,222.0,0.1909926683952985,-1.046151570872061,-1.0,0.031592772215752976,-0.15221972067596898,-1.0,-1.0,-1.0,SHORT
SL,422.0,0.4198292498094039,-1.0206857908209892,-1.0,0.26191182556916437,-0.04236808943031083,-0.27731840354380694,-1.0,-1.0,SHORT
SL,134.0,0.041074831832826536,-1.044903648820818,-1.0,-0.382697213662097,-0.3736807871621905,-1.0,-1.0,-1.0,SHORT
SL,351.0,0.6809633308129297,-1.7449685352080788,-1.0,0.34656169514587415,0.4778903375169271,-0.3052174929179296,-1.0,-1.0,SHORT
SL,146.0,0.07499679319075774,-1.042924155309193,-1.0,-0.44763710935741685,-0.7230159593548012,-1.0,-1.0,-1.0,SHORT
SL,51.0,0.4789523238229181,-1.5242130556880409,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SHORT
SL,62.0,0.09415909522765632,-1.0533051330548642,-1.0,-0.7213544244557626,-1.0,-1.0,-1.0,-1.0,LONG
SL,58.0,0.9691371588727432,-1.0142133057970146,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,LONG
TP,505.0,2.0520984888896727,-0.2290288492064358,2.0,0.03414611933623906,0.04913709855702925,0.3364642002887244,1.300883863492565,2.0,LONG
TIMEOUT,720.0,1.238331664692844,-0.7358061775294147,-0.48016942100335264,0.013608040271359648,0.18079253503366138,0.34603302404289277,-0.3936611649926184,-0.48016942100335264,SHORT
SL,685.0,1.1119314330395926,-1.0674137050562005,-1.0,0.26609460135525453,0.19527094319986196,0.294424064617407,-0.7132954142792604,-1.0,SHORT
SL,190.0,1.0100327500152464,-1.082258555602914,-1.0,-0.02595614888307529,0.15912247793537126,-1.0,-1.0,-1.0,SHORT
SL,310.0,0.1855582242767071,-1.0140211197238564,-1.0,-0.3329132847317253,-0.6287149246081192,-0.3252726519673975,-1.0,-1.0,SHORT
SL,78.0,0.7572715728781018,-1.0520092563489565,-1.0,-0.07295487214625182,-1.0,-1.0,-1.0,-1.0,SHORT
SL,33.0,0.2905505554631436,-1.0060652411129987,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,SHORT
TIMEOUT,720.0,1.023963555009505,-0.6726855093003112,0.36800557169535875,0.05018257795844072,-0.05018257795846789,-0.13382020788923865,0.7025560914184146,0.36800557169535875,SHORT
TIMEOUT,720.0,0.9583220274194484,-0.9637362761618953,0.08933510425097466,-0.5360106255057556,-0.441261272512334,-0.41825071535677294,-0.036546179011755366,0.08933510425097466,SHORT
TIMEOUT,720.0,1.408007972568096,-0.7652217242217876,0.01989576482978318,0.11172237173638377,-0.3642455407295876,0.9320400601021248,0.6917604386964932,0.01989576482978318,SHORT
TIMEOUT,720.0,1.5292679683041588,-0.6059931083840387,-0.022555574753727978,-0.0,0.10826675881799687,1.2149936267352413,0.5533634339586393,-0.022555574753727978,SHORT
TIMEOUT,720.0,1.3258723365080682,-0.2137335187267079,0.8175005207795614,0.5784087879666292,0.8923676290341019,0.1593944885419456,0.4407499114985665,0.8175005207795614,SHORT
TIMEOUT,720.0,0.8311540084728407,-0.7158844744510291,0.09342899073343934,0.37371596293378495,0.5775610336249103,-0.14803034895425973,-0.13953680434213642,0.09342899073343934,SHORT
TIMEOUT,720.0,0.3534053187037062,-0.7665734880499743,0.2062967632758273,0.07815142007106964,-0.17239283839204925,-0.1304439143833162,-0.3447856767840985,0.2062967632758273,LONG
TP,528.0,2.4200377770784347,-0.1517997158119106,2.0000000000000164,0.17442371191850684,0.05619508710344832,0.229888992695937,0.6473382111787077,2.0000000000000164,LONG
TP,498.0,2.3137416431328437,-0.324972127223182,2.000000000000017,0.18494957470997317,-0.049419724416418634,-0.18494957470997317,0.5331339967348244,2.000000000000017,LONG
TP,393.0,2.645625073792593,-0.3047492173609282,2.0,0.3725642904549554,-0.13228125368964297,0.16995629429743375,2.0,2.0,LONG
TP,348.0,2.3033010444309974,-0.6429177869936307,2.000000000000019,-0.20566680832306158,-0.48741361484693624,-0.04263824074990162,2.000000000000019,2.000000000000019,LONG
TP,168.0,3.0764224500655692,-0.20869670201891402,1.999999999999976,0.10381866394849579,0.5032027079136182,1.999999999999976,1.999999999999976,1.999999999999976,LONG
SL,99.0,0.27609020912234006,-1.7081907836514583,-1.0,-0.15025317503255467,-1.0,-1.0,-1.0,-1.0,LONG
SL,209.0,0.5813878337839343,-1.0524018183285058,-1.0,-0.17390298339453125,-0.5878049180420146,-1.0,-1.0,-1.0,LONG
